Espèce,Ordre,Sous-ordre,Stridulation,Son,Fréquences dominantes (kHz),Ultrasons,Habitat,Zone,Début activité principale,Fin activité principale,Notes
Isophya modestior,Orthoptera,Ensifera,Oui,Stridulation,~ 20,,,,,,
Isophya pienensis austromoravica,Orthoptera,Ensifera,Oui,Stridulation,~ 20,,,,,,
Isophya pienensis pienensis,Orthoptera,Ensifera,Oui,Stridulation,~ 20,,,,,,
Isophya pienensis sudetica,Orthoptera,Ensifera,Oui,Stridulation,~ 20,,,,,,
Isophya posthumoidalis,Orthoptera,Ensifera,Oui,Stridulation,~ 20,,,,,,
Isophya pyrenaea,Orthoptera,Ensifera,Oui,Stridulation,~ 23 ,Oui,"Haies, clairières, lisières, prairies, buissons",Occitanie,Juin,Septembre,
Isophya rectipennis,Orthoptera,Ensifera,Oui,Stridulation,~ 20,Oui,Friches xérothermophiles,Bouches-du-Rhône,Mai,Septembre,
Isophya stysi,Orthoptera,Ensifera,Oui,Stridulation,~ 20,,,,,,
Leptophyes albovittata,Orthoptera,Ensifera,Oui,Stridulation,> 35,,,,,,
Leptophyes boscii,Orthoptera,Ensifera,Oui,Stridulation,> 40,Oui,"Lisières forestières, fourrés",Alpes-Maritimes,Juillet,Septembre,
Leptophyes laticauda,Orthoptera,Ensifera,Oui,Stridulation,19 – 40,Oui,"Lisières forestières, ripisylves, fourrés thermophiles",Méditerranée,Juin,Septembre,
Leptophyes punctatissima,Orthoptera,Ensifera,Oui,Stridulation,> 34,Oui,"Strate arbustive et arborée, buissons",Occitanie,Mai,Novembre,
Locusta cinerascens cinerascens,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,"Landes, prairies littorales, guarrigues, friches, gravières",Occitanie,Juin,Novembre,
Locusta migratoria gallica,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,"Landes, coupes forestières, plages sablonneuses",Nouvelle-Aquitaine,Juin,Novembre,
Locusta migratoria migratoria,Orthoptera,Caelifera,Crissement,Wing rattle,Audible,,Dépressions humides,Méditerranée,Avril,Novembre,
Lucasinova nigromarginata,Orthoptera,Ensifera,Oui,Stridulation,15 - 26,Oui,"Prairies à herbes hautes, friches",Hérault,Août,Septembre,
Lyristes plebejus,Hemiptera,Cicadomorpha,Oui,Timbalization,Audible,,Strate arborée et arbustive,Occitanie,Juin,Septembre,
Meconema meridionale,Orthoptera,Ensifera,Tambourinage,Drumming,Audible,,Strate arborée à feuilles caduques,Occitanie,Juin,Décembre,
Meconema thalassinum,Orthoptera,Ensifera,Tambourinage,Drumming,Audible,,Strate arborée à feuilles caduques,Occitanie,Juin,Novembre,
Mecostethus parapleurus parapleurus,Orthoptera,Caelifera,Inconnue,Unknown,,,Strate herbacée,Occitanie,Juin,Novembre,
Melanogryllus desertus,Orthoptera,Ensifera,Oui,Stridulation,Audible,,"Cultures, prairies, friches, pelouses",Occitanie,Avril,Août,
Melanoplus frigidus frigidus,Orthoptera,Caelifera,Inconnue,Unknown,,,"Garons ras, pelouses alpines, éboulis et alpages pâturés",Alpes,Juillet,Octobre,
Metaplastes pulchripennis,Orthoptera,Ensifera,Oui,Stridulation,> 25,Oui,"Maquis, ronciers, lisières forestières",Corse,Mai,Septembre,
Metrioptera brachyptera,Orthoptera,Ensifera,Oui,Stridulation,16 - 22 ,Oui,"Prairies, tourbières, landes, pelouses, alpages",Occitanie,Juin,Novembre,
Metrioptera buyssoni,Orthoptera,Ensifera,Oui,Stridulation,16 - 22 ,,Prairies et landes basses montagnardes,Occitanie,Juillet,Octobre,
